keyword,topic,score,tx_volume,us_volume,cpc,competition,bcc_best_pos_gsc,gsc_impr,gsc_clicks,tracked_bucket,sources,competitors_ranking,variants
mounjaro vs ozempic vs wegovy,glp-1 drug info,0.5,0,0,0.0,,9.0,13,,,gsc,,
ozempic vs zepbound vs wegovy vs mounjaro,glp-1 drug info,0.5,0,0,0.0,,5.0,12,,,gsc,,
is zepbound like ozempic or mounjaro,glp-1 drug info,0.5,0,0,0.0,,5.0,11,,,gsc,,
evaluate ozempic on ozempic vs competitors,glp-1 drug info,0.5,0,0,0.0,,5.5,11,,,gsc,,
holistic health weight,other weight / eating,0.5,0,0,0.0,,18.5,10,,,gsc,,
bariatric counseling san antonio,bariatric psych,0.4,0,0,0.0,,1.0,22,,bariatric,tracked|gsc,,
weight management therapist san antonio,weight loss therapy,0.4,0,0,0.0,,3.0,22,,weight-loss,tracked|gsc,,
how can i improve sleep while working toward weight loss goals,blog: sleep / stress / self-esteem,0.4,0,0,0.0,,1.9,48,,,gsc,,
cdc sleep hunger weight management,blog: sleep / stress / self-esteem,0.4,0,0,0.0,,7.7,16,,,gsc,,
mindfulness weight loss program,other weight / eating,0.4,0,10,0.0,,43.0,15,,,gsc,,
cleveland clinic dehydration weight loss temporary,blog: hydration,0.4,0,0,0.0,,8.5,15,,,gsc,,
does being dehydrated make you less hungry,blog: hydration,0.4,0,0,0.0,,4.7,15,2,,gsc,,
cdc sleep weight management appetite,blog: sleep / stress / self-esteem,0.4,0,0,0.0,,10.0,13,,,gsc,,
cdc sleep appetite cravings weight management,blog: sleep / stress / self-esteem,0.4,0,0,0.0,,6.0,13,,,gsc,,
nutritional counseling for cancer patients san antonio tx,nutrition / dietitian,0.4,0,0,0.0,,35.7,12,,,gsc,,
zepbound vs wegovy mounjaro,glp-1 drug info,0.4,0,0,0.0,,9.5,10,,,gsc,,
ozempic wegovy mounjaro,glp-1 drug info,0.4,0,0,0.0,,10.0,10,,,gsc,,
ozempic vs mounjaro vs zepbound vs wegovy,glp-1 drug info,0.4,0,0,0.0,,6.5,10,,,gsc,,
weight loss and low self esteem,blog: sleep / stress / self-esteem,0.3,0,0,0.0,,2.6,35,,,gsc,,
how do hydration trackers support weight loss goals,blog: hydration,0.3,0,0,0.0,,2.0,32,,,gsc,,
ozempic wegovy mounjaro zepbound comparison,glp-1 drug info,0.3,0,0,0.0,,1.0,26,,,gsc,,
overweight anxiety depression,blog: sleep / stress / self-esteem,0.3,0,0,0.0,,31.0,16,,,gsc,,
if food cravings are still a problem what other approaches can help,blog: sleep / stress / self-esteem,0.3,0,0,0.0,,63.5,13,,,gsc,,
cdc sleep hunger cravings weight loss,blog: sleep / stress / self-esteem,0.3,0,0,0.0,,6.0,12,,,gsc,,
gambling addiction therapists san antonio,other weight / eating,0.3,0,0,0.0,,41.0,11,,,gsc,,
cdc sleep and weight management hunger,blog: sleep / stress / self-esteem,0.3,0,0,0.0,,10.0,11,,,gsc,,
is being thirsty a sign of fat loss,other weight / eating,0.3,0,10,0.0,,5.0,10,,,gsc,,
nhs dehydration weight loss temporary,blog: hydration,0.3,0,0,0.0,,9.5,10,,,gsc,,
confidence with weicht loss,other weight / eating,0.3,0,0,0.0,,6.0,10,,,gsc,,
does dehydration hinder weight loss,blog: hydration,0.2,0,0,0.0,,1.0,29,,,gsc,,
ozempic vs mounjaro vs wegovy vs zepbound,glp-1 drug info,0.2,0,0,0.0,,1.0,20,,,gsc,,
feeling depressed about my weight,blog: sleep / stress / self-esteem,0.2,0,0,0.0,,1.0,19,,,gsc,,
difference between nutritionist and dietitian usa,nutrition / dietitian,0.2,0,0,0.0,,1.0,19,,,gsc,,
how do hydration trackers support weight loss and energy levels,blog: hydration,0.2,0,0,0.0,,2.0,19,,,gsc,,
mounjaro vs wegovy vs ozempic vs zepbound,glp-1 drug info,0.2,0,0,0.0,,1.0,17,,,gsc,,
how does ozempic compare to zepbound for weight management in non-diabetics,glp-1 drug info,0.2,0,0,0.0,,2.0,17,,,gsc,,
mounjaro vs zepbound vs ozempic vs wegovy,glp-1 drug info,0.2,0,0,0.0,,1.0,15,,,gsc,,
mounjaro vs zepbound vs wegovy vs ozempic,glp-1 drug info,0.2,0,0,0.0,,1.0,15,,,gsc,,
ozempic mounjaro wegovy zepbound,glp-1 drug info,0.2,0,0,0.0,,1.0,13,,,gsc,,
como se compara wegovy con otros medicamentos aprobados para bajar de peso,glp-1 drug info,0.2,0,0,0.0,,2.0,13,,,gsc,,
bariatric psychologist near me,bariatric psych,0.2,0,0,0.0,,3.0,10,,,gsc,,
how-to-lose-weight-in-a-toxic-world,other weight / eating,0.2,0,0,0.0,,31.0,10,,,gsc,,
men's cbt therapist in san antonio tx,other weight / eating,0.2,0,0,0.0,,69.2,10,,,gsc,,
bariatric psych eval lubbock,bariatric psych,0.2,0,0,0.0,,2.0,10,,,gsc,,
can you lose weight by not drinking enough water,blog: hydration,0.1,0,0,0.0,,2.5,17,,,gsc,,
does not drinking enough water prevent weight loss,blog: hydration,0.1,0,0,0.0,,1.0,16,,,gsc,,
difference between wegovy and ozempic and zepbound,glp-1 drug info,0.1,0,0,0.0,,1.0,12,,,gsc,,
mounjaro ozempic wegovy zepbound what's the difference,glp-1 drug info,0.1,0,0,0.0,,1.0,11,,,gsc,,
ozempic wegovy mounjaro and zepbound,glp-1 drug info,0.1,0,0,0.0,,1.0,11,,,gsc,,
does dehydration make it harder to lose weight,blog: hydration,0.1,0,0,0.0,,1.5,10,,,gsc,,
d shydratation et perte de poids,blog: hydration,0.1,0,0,0.0,,2.0,10,1,,gsc,,
risks of rapid water weight loss dehydration,blog: hydration,0.1,0,0,0.0,,2.7,10,,,gsc,,
bariatric therapist san antonio,bariatric psych,0.0,0,0,0.0,,,,,bariatric,tracked,,
bariatric therapy,bariatric psych,0.0,0,0,0.0,,,,,bariatric,tracked,,
bariatric surgery psychological evaluation san antonio,bariatric psych,0.0,0,0,0.0,,,,,bariatric,tracked,,
weight management after bariatric surgery,bariatric psych,0.0,0,0,0.0,,,,,bariatric,tracked,,
eating disorders san antonio,night eating / arfid / other ED,0.0,0,0,0.0,,,,,eating-disorders,tracked,,
binge eating san antonio,binge eating,0.0,0,0,0.0,,,,,eating-disorders,tracked,,
binge eating treatment san antonio,binge eating,0.0,0,0,0.0,,,,,eating-disorders,tracked,,
eating disorder iop san antonio,night eating / arfid / other ED,0.0,0,0,0.0,,,,,eating-disorders,tracked,,
compulsive overeating san antonio,food addiction / overeating,0.0,0,0,0.0,,,,,eating-disorders,tracked,,
food addiction san antonio,food addiction / overeating,0.0,0,0,0.0,,,,,overeaters,tracked,,
food addiction treatment san antonio,food addiction / overeating,0.0,0,0,0.0,,,,,overeaters,tracked,,
binge eating,binge eating,0.0,0,0,0.0,,,,,overeaters,tracked,,
obesity counseling san antonio,weight loss therapy,0.0,0,0,0.0,,,,,weight-loss,tracked,,
therapy for depression and weight san antonio,weight loss therapy,0.0,0,0,0.0,,,,,weight-loss,tracked,,
glp-1 behavioral support san antonio,glp-1 behavioral,0.0,0,0,0.0,,,,,weight-loss,tracked,,
semaglutide behavioral support san antonio,glp-1 behavioral,0.0,0,0,0.0,,,,,weight-loss,tracked,,
binge eating therapy,binge eating,0.0,0,0,0.0,,,,,,seed,,
food addiction therapist,food addiction / overeating,0.0,0,0,0.0,,,,,,seed,,
emotional eating therapy,emotional eating,0.0,0,0,0.0,,,,,,seed,,
glp-1 behavioral support,glp-1 behavioral,0.0,0,0,0.0,,,,,,seed,,
ozempic therapy support,glp-1 behavioral,0.0,0,0,0.0,,,,,,seed,,
eating disorder telehealth texas,night eating / arfid / other ED,0.0,0,0,0.0,,,,,,seed,,
night eating syndrome treatment,night eating / arfid / other ED,0.0,0,0,0.0,,,,,,seed,,
arfid treatment adults,night eating / arfid / other ED,0.0,0,0,0.0,,,,,,seed,,
weight management psychologist,weight loss therapy,0.0,0,0,0.0,,,,,,seed,,
eating disorder dietitian,night eating / arfid / other ED,0.0,0,0,0.0,,,,,,seed,,
binge eating treatment,binge eating,0.0,0,0,0.0,,,,,,seed,,
food addiction,food addiction / overeating,0.0,0,0,0.0,,,,,,seed,,
overeating therapy,food addiction / overeating,0.0,0,0,0.0,,,,,,seed,,
eating disorder treatment texas,night eating / arfid / other ED,0.0,0,0,0.0,,,,,,seed,,
bariatric counseling center,competitor brand / navigational,0.0,0,0,0.0,,1.6,437,51,,gsc,,
bariatric counseling center of san antonio,competitor brand / navigational,0.0,0,0,0.0,,1.0,34,4,,gsc,,
texas bariatric psychiatrist referral,competitor brand / navigational,0.0,0,0,0.0,,5.0,25,,,gsc,,
bariatric counseling center san antonio,competitor brand / navigational,0.0,0,0,0.0,,1.0,24,3,,gsc,,
eating recovery center san antonio,competitor brand / navigational,0.0,0,0,0.0,,18.0,19,,,gsc,,
9618 huebner road,competitor brand / navigational,0.0,390,390,0.0,LOW,9.5,14,,,gsc,,9618 huebner rd
sage bariatric institute huebner road san antonio tx,competitor brand / navigational,0.0,40,40,0.0,LOW,,,,,competitor:bariatriccounselingcenter.com,bariatriccounselingcenter #22,
strength training weight loss,off-topic,0.0,2400,27100,0.63,LOW,,,,,competitor:sagebariatric.com,sagebariatric #17,lose weight by strength training | strength exercise to lose weight | strength exercise for weight loss | strength training and weight loss | lose weight with strength training | losing weight by strength training | resistance training to lose weight | strength exercises for weight loss | resistance training and weight loss | resistance training for weight loss | strength training and losing weight | losing weight with strength training
nutrition rotisserie chicken,off-topic,0.0,1300,14800,0.3,LOW,,,,,competitor:sagebariatric.com,sagebariatric #4,rotisserie chicken nutrition | rotisserie chicken nutritional value | nutrition information rotisserie chicken | rotisserie chicken nutrition information
strength training for fat loss,off-topic,0.0,1000,12100,0.1,LOW,,,,,competitor:sagebariatric.com,sagebariatric #26,
strength training to lose fat,off-topic,0.0,260,2900,0.15,LOW,,,,,competitor:sagebariatric.com,sagebariatric #74,
sage bariatric,competitor brand / navigational,0.0,1600,1600,10.55,LOW,,,,,competitor:sagebariatric.com,sagebariatric #1,sage bariatrics
strength training program for weight loss,off-topic,0.0,70,880,7.22,LOW,,,,,competitor:sagebariatric.com,sagebariatric #55,
strength training to lose belly fat,off-topic,0.0,70,720,0.46,LOW,,,,,competitor:sagebariatric.com,sagebariatric #29,
texas bariatrics,competitor brand / navigational,0.0,590,720,5.01,LOW,,,,,competitor:sagebariatric.com,sagebariatric #38,
ultimate bariatrics,competitor brand / navigational,0.0,720,720,4.23,LOW,,,,,competitor:sagebariatric.com,sagebariatric #52,
is rotisserie chicken good for weight loss,off-topic,0.0,40,480,0.03,LOW,,,,,competitor:sagebariatric.com,sagebariatric #4,
lonestar bariatrics,competitor brand / navigational,0.0,320,390,3.66,LOW,,,,,competitor:sagebariatric.com,sagebariatric #34,
strength training exercises for weight loss,off-topic,0.0,40,390,0.06,LOW,,,,,competitor:sagebariatric.com,sagebariatric #36,
best resistance training for weight loss,off-topic,0.0,20,260,14.81,LOW,,,,,competitor:sagebariatric.com,sagebariatric #31,
